,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
230,100,0,0.5,120,1,1,0,3,0.197695785,0,No issues detected
231,100,0,0.12,1,1,1,1,0,0.235618525,0,No issues detected
232,100,0,0.45,5,1.02,2.17,0,0,0.219242837,0,No issues detected
233,100,18,5.46,38.34,1.09,0.83,0,0,0.199887448,0,No issues detected
234,100,23,3.66,19.57,1.14,0.78,0,0,0.189312603,0,No issues detected
235,100,0,5.07,26.17,0.93,0.95,0,0,0.23117968,0,No issues detected
236,100,0,0.63,5.58,1.05,3,0,0,0.211200313,0,No issues detected
237,100,0,4.4,15.38,0.99,1,0,0,0.234565566,0,No issues detected
238,100,0,18.75,8,0.5,0.11,0,0,0.193078516,0,No issues detected
239,100,0,6.15,23.5,1.06,1,0,0,0.231521719,0,No issues detected
240,100,12,8.64,10.48,1.11,-0.91,0,0,0.176874497,0,No issues detected
241,100,0,5.57,12,1.17,1,0,0,0.230879,0,No issues detected
242,100,0,0,0,0.84,0.67,0,0,0.231762869,0,No issues detected
243,100,0,9.51,10,1.03,0.67,0,0,0.228552372,0,No issues detected
244,100,0,2.5,8.95,0.97,19,0,0,0.055544846,0,No issues detected
245,100,0,8.69,8,1.02,1,0,0,0.232456147,0,No issues detected
246,100,0,6.36,8,1.36,1,0,0,0.228132168,0,No issues detected
247,100,0,6.21,21,1.11,1,0,0,0.230998861,0,No issues detected
248,100,0,3.67,12,0.92,1,0,0,0.233186549,0,No issues detected
249,100,0,2.07,6.12,0.92,2.6,0,0,0.214507578,0,No issues detected
250,100,1,1,1,1,1,1,0,0.23330745,0,No issues detected
251,100,0,1,1,1,1,1,0,0.234691454,0,No issues detected
252,100,0,1,1.11,1,1,0,0,0.235544643,0,No issues detected
253,100,0,0.01,1,1,1,0,0,0.234998342,0,No issues detected
254,100,0,5.71,1,1,1,7,0,0.225473684,0,No issues detected
255,100,0,1.74,2.03,1,1,0,0,0.235055743,0,No issues detected
256,100,0,5.71,1,1,1,0,0,0.233035689,0,No issues detected
257,100,0,1.74,2.03,1,1,0,0,0.235055743,0,No issues detected
258,100,0,2.18,4,1.03,1,0,0,0.235493233,0,No issues detected
259,100,0,2,5.5,0.98,1,0,0,0.234721313,0,No issues detected
260,100,0,16.77,13.45,1.3,1.09,0,0,0.209419125,0,No issues detected
261,100,0,8.23,8.66,0.95,0.98,99,0,0.093811955,0,No issues detected
262,99.12,0,44.34,1,1.02,1,0,0,0.166186455,0,No issues detected
263,100,0,2.5,1.67,1,3,0,0,0.210953384,0,No issues detected
264,100,0,27.75,75.25,4,1,0,0,0.120135951,0,No issues detected
265,100,24,4.56,119.75,0.99,2,0,3,0.127708967,0,No issues detected
266,100,7,6.54,109.9,1.15,1.14,683,4,-0.089168502,1,Your Delivered Defects value looks very high compared to normal (atleast 43 times higher)
267,100,2,1.13,10,1,1,3,0,0.224022351,0,No issues detected
268,100,5,0.02,6,1.02,1,5,0,0.222968472,0,No issues detected
269,100,25,5.55,140,0.98,-1,0,3,0.091312676,0,No issues detected
270,100,0,7.84,24,1.27,-0.33,1,0,0.201926127,0,No issues detected
271,100,0,4.46,24,1.04,-1,1,0,0.194249328,0,No issues detected
272,100,0,10.01,4,1,1,0,0,0.229716874,0,No issues detected
273,100,0,12.63,28,1,1,0,0,0.22539273,0,No issues detected
274,100,0,5.45,11.2,1,1,0,0,0.233569437,0,No issues detected
275,100,0,13.3,25.11,1,1,0,0,0.223991909,0,No issues detected
276,100,0,0,0,0.89,0.63,0,0,0.23000265,0,No issues detected
277,100,0,6.82,6,1,1,0,0,0.233033518,0,No issues detected
278,100,0,0.01,0.1,0.99,1,0,0,0.234611044,0,No issues detected
279,100,0,0.63,0.88,1,1,0,0,0.234611044,0,No issues detected
280,100,0,1.74,2.03,1,1,0,0,0.235055743,0,No issues detected
281,100,0,2.34,5.98,1,1.02,0,0,0.234268261,0,No issues detected
282,100,0,0.44,0.83,1,0.82,0,0,0.231274924,0,No issues detected
283,100,0,4.41,14.89,1.02,1,0,0,0.234565566,0,No issues detected
284,100,0,3.32,5,1.05,1,0,0,0.234648978,0,No issues detected
285,100,0,3.85,26,1.63,1,0,0,0.226102949,0,No issues detected
286,100,59,5.9,1.67,0.91,1,0,0,0.145194404,0,No issues detected
287,100,1,1,10,1,1,1,0,0.231358587,0,No issues detected
288,100,0,1,1,1,1,1,0,0.234691454,0,No issues detected
289,100,0,0.67,1,1.5,1,1,0,0.230520249,0,No issues detected
290,100,0,1,1.11,1,1,0,0,0.235544643,0,No issues detected
291,100,0,1,1.11,1,1,0,0,0.235544643,0,No issues detected
292,100,0,19.23,10.68,0.91,0.97,99,0,0.080072463,0,No issues detected
293,100,0,10,10,1,1,0,0,0.228795373,0,No issues detected
294,100,0,10,10,1,1,0,0,0.228795373,0,No issues detected
295,99.12,0,42.17,1,1.02,1,0,0,0.16901909,0,No issues detected
296,100,0,13,13.5,1,1,0,0,0.226714727,0,No issues detected
297,100,0,1.9,1.67,2,3,0,0,0.200369238,0,No issues detected
298,96.12,0,16.97,191.06,1.09,1.53,5,3,0.097039692,0,No issues detected
299,99.17,0,15.98,145.21,0.84,1.17,1,3,0.151580235,0,No issues detected
300,100,2,1.29,10,1,1,3,0,0.224022351,0,No issues detected
301,100,2,1.29,10,1,1,2,0,0.22571592,0,No issues detected
302,100,0,0.58,350,7.5,1,0,3,0.001390555,0,No issues detected
303,100,0,0.4,160,1.19,2,0,3,0.14500197,0,No issues detected
304,100,0,5.21,32,1.09,0.33,2,0,0.223131129,0,No issues detected
305,100,18,4.76,35.38,1.07,0.57,0,0,0.19771212,0,No issues detected
306,100,0,5.21,21.72,0.97,0.96,0,0,0.23272917,0,No issues detected
307,100,0,6.08,24,0.95,1,0,0,0.230138887,0,No issues detected
308,100,0,0.83,2.06,1,0.99,0,0,0.234204062,0,No issues detected
309,100,0,6.21,21,1.07,1,0,0,0.230998861,0,No issues detected
310,100,0,1.32,6.25,0.94,1,0,0,0.232619201,0,No issues detected
311,100,0,1.75,6.25,0.94,1,0,0,0.233678664,0,No issues detected
312,100,0,1.31,9.5,0.92,0.83,0,0,0.22847773,0,No issues detected
313,100,0,2.1,8.63,0.89,0.8,0,0,0.231525246,0,No issues detected
314,100,0,0.67,1,1.5,1,1,0,0.230520249,0,No issues detected
315,100,0,2.25,2.25,1,1,0,0,0.235044976,0,No issues detected
316,100,0,1.29,1.29,0.97,0.97,0,0,0.234091184,0,No issues detected
317,100,0,0.93,0.93,0.97,0.97,0,0,0.234707614,0,No issues detected
318,100,0,2.55,2.55,1,1,0,0,0.233329237,0,No issues detected
319,100,0,1.1,1.1,0.97,0.97,0,0,0.234382324,0,No issues detected
320,100,0,10,10,1,1,0,0,0.228795373,0,No issues detected
321,100,0,10,10,1,1,0,0,0.228795373,0,No issues detected
322,100,1,1,1,1,1,1,0,0.23330745,0,No issues detected
323,100,0,0.67,1,1.5,1,1,0,0.230520249,0,No issues detected
324,100,0,0.67,1,1.5,1,1,0,0.230520249,0,No issues detected
325,100,0,2.44,50,1,1,0,0,0.227829552,0,No issues detected
326,100,0,15.76,88.08,1.04,1.1,0,0,0.193309753,0,No issues detected
327,100,0,34.38,21.67,0.7,0.5,0,0,0.167098594,0,No issues detected
328,100,0,0.51,0.32,1,1,0,0,0.234611044,0,No issues detected
329,100,0,7.67,8.49,1,1,0,0,0.23292075,0,No issues detected
330,100,0,0.5,9.46,1,1,0,0,0.231877068,0,No issues detected
331,99.12,0,23.39,1,1.01,1,0,0,0.207694234,0,No issues detected
332,100,0,11.3,33,1,1,0,0,0.226789275,0,No issues detected
333,100,0,2.5,1.67,1,3,0,0,0.210953384,0,No issues detected
334,100,0,2,2,1,1,1,0,0.233727495,0,No issues detected
335,100,5,12.1,41.6,0.79,0.87,723,4,-0.069534626,1,Your Delivered Defects value looks very high compared to normal (atleast 43 times higher)
336,100,1,0.02,6,1.02,1,5,0,0.224352101,0,No issues detected
337,100,0,0.02,5.33,0.87,1,0,0,0.234287191,0,No issues detected
338,100,0,0.32,350,0.86,1,0,3,0.081452251,0,No issues detected
339,100,0,11.78,29.78,1,0.9,0,0,0.226144237,0,No issues detected
340,100,0,11.73,24.76,1,1,0,0,0.226300124,0,No issues detected
341,100,0,0,0,0.89,0.63,0,0,0.23000265,0,No issues detected
342,100,0,0,0,0.89,0.63,0,0,0.23000265,0,No issues detected
343,100,2,6.49,10,1.11,1,0,0,0.226270057,0,No issues detected
344,100,0,2.5,12.5,0.93,1.33,0,0,0.229362164,0,No issues detected
345,100,0,8.13,4.36,1,1,0,0,0.232701229,0,No issues detected
346,100,0,7,25.71,1,2.8,2,0,0.205039374,0,No issues detected
